Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"T0901317","333","PC-14","753608","LUAD","lung","lung_NSCLC_adenocarcinoma","4.8093843161243832",".98587779000542897","10.24",".029562073101513108",".47106395242464322","GDSC1"
"T0901317","333","NCI-H23","905942","LUAD","lung","lung_NSCLC_adenocarcinoma","3.0663391709113736",".93654280487777419","10.24",".019327835678914329","-1.1853750900268956","GDSC1"
"T0901317","333","NCI-H522","905944","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5058641446447041",".97393335135917858","10.24",".035328377733289611",".18262468647029739","GDSC1"
"T0901317","333","A549","905949","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2080788837320675",".97895307303900747","10.24",".035950707476751415",".84994871603069244","GDSC1"
"T0901317","333","NCI-H322M","905967","LUAD","lung","lung_NSCLC_adenocarcinoma","6.1405588247044562",".98140026200867991","10.24",".03000948422861453","1.7360968371918417","GDSC1"
"T0901317","333","EKVX","905970","LUAD","lung","lung_NSCLC_adenocarcinoma","6.5961967606720959",".97138378884299059","10.24",".040800912245821677","2.1690956430068224","GDSC1"
"T0901317","333","HOP-62","905972","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5232662150215974",".97931972351860996","10.24",".034616502517174332",".19916210598059522","GDSC1"
"T0901317","333","ABC-1","906791","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2209895545018892",".98131281685207461","10.24",".033997837203579857",".86221789860815057","GDSC1"
"T0901317","333","COR-L105","906805","LUAD","lung","lung_NSCLC_adenocarcinoma","4.4864496472467197",".95211446514974551","10.24",".041339251417397992",".16417483072908814","GDSC1"
"T0901317","333","LC-2-ad","907786","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5676824022109077",".98078770199055398","10.24",".03767451563208047",".24137140089143841","GDSC1"
"T0901317","333","NCI-H441","908460","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2088791263477141",".96146120647139854","10.24",".022427127860289459",".85070919725840533","GDSC1"
"T0901317","333","NCI-H1793","908463","LUAD","lung","lung_NSCLC_adenocarcinoma","5.9816755529837096",".97567832772412855","10.24",".030609223311267884","1.5851079455997543","GDSC1"
"T0901317","333","NCI-H358","908465","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0143811426194391",".98032976602922894","10.24",".039019160958008364",".66587516997551055","GDSC1"
"T0901317","333","NCI-H1573","908472","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5721835220925007",".97821339607533209","10.24",".0208195795486243",".24564887513076128","GDSC1"
"T0901317","333","NCI-H1666","908473","LUAD","lung","lung_NSCLC_adenocarcinoma","5.397256541191056",".98461332149911995","10.24",".028458520671623029","1.0297267663211211","GDSC1"
"T0901317","333","NCI-H1755","908475","LUAD","lung","lung_NSCLC_adenocarcinoma","4.123272670118177",".9644381120836496","10.24",".04219403956875592","-.18095709306955293","GDSC1"
"T0901317","333","NCI-H1993","908476","LUAD","lung","lung_NSCLC_adenocarcinoma","5.7693760429944154",".98160754091532554","10.24",".031495370807404277","1.3833568905537175","GDSC1"
"T0901317","333","SK-LU-1","909721","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2850791544515863",".97966054477884046","10.24",".031857394406444577",".92312309998135145","GDSC1"
"T0901317","333","NCI-H838","910399","LUAD","lung","lung_NSCLC_adenocarcinoma","4.4312758365587106",".9730775274466732","10.24",".020308544760956424",".11174242277026868","GDSC1"
"T0901317","333","NCI-H1651","910900","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0068188695987965",".9864587900226498","10.24",".025819289544974904",".65868864109215242","GDSC1"
"T0901317","333","RERF-LC-MS","910931","LUAD","lung","lung_NSCLC_adenocarcinoma","3.856251481113663",".95578832639261146","10.24",".036207966693309251","-.43471088931724366","GDSC1"
"T0901317","333","NCI-H1975","924244","LUAD","lung","lung_NSCLC_adenocarcinoma","4.3716819109113629",".96373313214599809","10.24",".043246902606049423",".055109520629826735","GDSC1"
"T0901317","333","HCC-44","1240145","LUAD","lung","lung_NSCLC_adenocarcinoma","4.426071273553192",".98407463100794357","10.24",".064819998982725141",".10679645715089485","GDSC1"
"T0901317","333","HCC-827","1240146","LUAD","lung","lung_NSCLC_adenocarcinoma","5.5816535999595489",".98288611699989126","10.24",".051924646577142207","1.204961749933686","GDSC1"
"T0901317","333","NCI-H1944","1240185","LUAD","lung","lung_NSCLC_adenocarcinoma","2.970097889341869",".91674643602039985","10.24",".061823557133910349","-1.2768344631390116","GDSC1"
"T0901317","333","NCI-H2023","1240187","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0841261522633419",".97987555521237568","10.24",".023197171629371682",".73215478258772504","GDSC1"
"T0901317","333","NCI-H3122","1240190","LUAD","lung","lung_NSCLC_adenocarcinoma","4.8738007639550425",".98143849308541631","10.24",".083421873901680529",".53227976169716051","GDSC1"
"T0901317","333","PC-3_[JPC-3]","1240202","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3021567531249776",".97742734470890569","10.24",".035494583065229755",".9393521697054561","GDSC1"
"T0901317","333","H3255","1247873","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2274849182162697",".98109994570559977","10.24",".031500967044894447",".86839052935209393","GDSC1"
"T0901317","333","HCC-78","1290908","LUAD","lung","lung_NSCLC_adenocarcinoma","3.8877198103112853",".94914738389254727","10.24",".038720057228826245","-.40480611649663534","GDSC1"
"T0901317","333","NCI-H1435","1298347","LUAD","lung","lung_NSCLC_adenocarcinoma","4.9606064237986534",".98811633185141123","10.24",".02924133271601826",".61477233767295547","GDSC1"
"T0901317","333","NCI-H1568","1298348","LUAD","lung","lung_NSCLC_adenocarcinoma","4.0495573378517857",".94839512554406524","10.24",".049717277208397082","-.25100975620835897","GDSC1"
